s,POWERELECTRICALFRONT,POWERELECTRICALREAR,POWERELECTRICALTOTAL
9.35,0,5.131,5.131
9.36,0,5.13,5.13
9.37,0,5.13,5.13
9.38,0,5.129,5.129
9.39,0,5.129,5.129
9.4,0,5.126,5.126
9.41,0,5.126,5.126
9.42,0,5.125,5.125
9.43,0,5.125,5.125
9.44,0,5.123,5.123
9.45,0,5.123,5.123
9.46,0,5.122,5.122
9.47,0,5.122,5.122
9.48,0,5.122,5.122
9.49,0,5.122,5.122
9.5,0,5.121,5.121
9.51,0,5.121,5.121
9.52,0,5.12,5.12
9.53,0,5.12,5.12
9.54,0,5.119,5.119
9.55,0,5.119,5.119
9.56,0,5.117,5.117
9.57,0,5.117,5.117
9.58,0,5.115,5.115
9.59,0,5.115,5.115
9.6,0,5.115,5.115
9.61,0,5.115,5.115
9.62,0,5.125,5.125
9.63,0,5.125,5.125
9.64,0,5.125,5.125
9.65,0,5.125,5.125
9.66,0,5.125,5.125
9.67,0,5.125,5.125
9.68,0,5.126,5.126
9.69,0,5.126,5.126
9.7,0,5.124,5.124
9.71,0,5.124,5.124
9.72,0,5.123,5.123
9.73,0,5.123,5.123
9.74,0,5.12,5.12
9.75,0,5.12,5.12
9.76,0,5.119,5.119
9.77,0,5.119,5.119
9.78,0,5.118,5.118
9.79,0,5.118,5.118
9.8,0,5.118,5.118
9.81,0,5.118,5.118
9.82,0,5.117,5.117
9.83,0,5.117,5.117
9.84,0,5.113,5.113
9.85,0,5.113,5.113
9.86,0,5.112,5.112
9.87,0,5.112,5.112
9.88,0,5.111,5.111
9.89,0,5.111,5.111
9.9,0,5.11,5.11
9.91,0,5.11,5.11
9.92,0,5.108,5.108
9.93,0,5.108,5.108
9.94,0,5.107,5.107
9.95,0,5.107,5.107
9.96,0,5.107,5.107
9.97,0,5.107,5.107
9.98,0,5.107,5.107
9.99,0,5.107,5.107
10,0,5.106,5.106
10.01,0,5.106,5.106
10.02,0,5.104,5.104
10.03,0,5.104,5.104
10.04,0,5.102,5.102
10.05,0,5.102,5.102
10.06,0,5.1,5.1
10.07,0,5.1,5.1
10.08,0,5.099,5.099
10.09,0,5.099,5.099
10.1,0,5.098,5.098
10.11,0,5.098,5.098
10.12,0,5.098,5.098
10.13,0,5.098,5.098
10.14,0,5.097,5.097
10.15,0,5.097,5.097
10.16,0,5.097,5.097
10.17,0,5.097,5.097
10.18,0,5.097,5.097
10.19,0,5.097,5.097
10.2,0,5.096,5.096
